sep=;
;seg_id;start;end;speaker;transcription;translation;DI;label
0;De_Dienst_afl_5_seg_0;0 days 00:00:00;0 days 00:00:10;Inge; Ik zeg weleens, de AIVD zit tussen James Bond en das Leben in de anderen. En afhankelijk van de casus waarin je zit, vinden mensen ons heel gaaf of heel eng.; I often say that the AIVD is between James Bond and the other living people. And depending on the cases you're in, people will find it very cool or very scary.;;
1;De_Dienst_afl_5_seg_1;0 days 00:00:21;0 days 00:00:53;Liesbeth; Wanneer trekt de dienst aan de bel als er sprake is van een dreiging? Ik doorloop op uitnodiging van de AIVD een contraterrorismezaak... ...om te ervaren hoe het is om voor de geheime dienst te werken. Wat begon met een vage lied, heeft ons naar een IS-trainingskamp in Libië gebracht. Hoe kunnen we inschatten wat ons stargardt nog meer van plan is? En wat als alle media zich ermee gaat bemoeien, maar je eigenlijk niets mag zeggen?; When does the service start ringing when there is a threat? I am currently inviting the AIVD to experience what it is like to work for the secret service. What started with a vague song brought us to an IS training camp in Libya. How can we estimate what our target is? And what if all the media gets involved, but you can't really say anything?;;
2;De_Dienst_afl_5_seg_2;0 days 00:00:56;0 days 00:01:04;Bart; Wat nu de ervaring ervoor leert, is dat de media heel snel bij ons op de stoep staan... ...om te vragen wat hier aan de hand is en wat ze hier mee moeten.; The game is going to change now. What the experience has learned now is that the media is very fast on our feet. To ask what is going on here and what they have to do with it.;;
3;De_Dienst_afl_5_seg_3;0 days 00:01:07;0 days 00:01:37;Liesbeth; Mijn naam is Elisabeth Rasker. Je luistert naar de vijfde aflevering van De Dienst. Een nieuwe dag in Zoetermeer. Er zijn meerdere teams bezig met het zoeken naar Sander... ...van Oost-Zint tot het internationale CT-team. En we hebben gekeken naar de mogelijkheden van kabelinterceptie. Er zijn dus een hele hoop lijntjes uitgezet en ik loop zo snel mogelijk richting Bart... ...om te horen of het iets heeft opgeleverd. Ja, dat is zeker nieuws. En dat is ook goed nieuws. En dat is ook goed nieuws. En dat is ook goed nieuws. En dat is ook goed nieuws.; My name is Elisabeth Rasker. You are listening to the fifth episode of The Service. A new day in Zoetermeer. Several teams are looking for Sander, from OCEAN to the international CT team. And we have looked at the possibilities of cable interception. So a lot of lines have been drawn and I am walking as fast as possible towards Bart to hear if something has been delivered. Yes, that is definitely news. And that is also good news. I got some things this morning.;DI08;(1,)
4;De_Dienst_afl_5_seg_4;0 days 00:01:37;0 days 00:02:08;Bart; En dat is ook goed nieuws. En dat is ook goed nieuws. En dat is ook goed nieuws. Ik heb wat zaken vanochtend gekregen. Het team van Marja is gestuid op een foto... ...van een gemaskerde man. Die wordt onthaald door een groep strijders in Noord-Afrika. En bij de foto staat de naam Saif Aldin.; The Maya team has been stung by a photo of a masked man. He is being kidnapped by a group of fighters in North Africa. And they say that this is a very dangerous situation. He is being kidnapped by a group of fighters in North Africa. And in the photo is the name Saif Aldin.;DI08;(1,)
5;De_Dienst_afl_5_seg_5;0 days 00:02:08;0 days 00:02:13;Misaligned; Aldin. Dat is de andere naam van Sander.; That is the other name of Sander.;DI08;(1, 2)
6;De_Dienst_afl_5_seg_6;0 days 00:02:15;0 days 00:02:59;Bart; En ik heb nog andere informatie gekregen... ...van het collega-team elders in het dienst die kijken naar meneer Anas. Horen wij dat Anas Almagrabbi al een tijdje zit op te scheppen... ...tegen zijn medestrijders. Zo diep zitten ze tegen hem aan. Dat er een westerse strijder onderweg is naar zijn kamp. En hij heeft hoge verwachtingen van hem. En hij zou bereid zijn om martelaar te worden. De hek levert heel veel op. Sander is in contact getreden met Anas. Dus we hebben nu zijn IP-adres. We weten dat hij een Egyptisch prepaid-nummer heeft. En hij blijkt nu in een trainingskamp in Libië te zitten.; And I got some other information. From the colleague team Elders in the Service, who are looking for Mr. Anas. We hear that Anas Almagrabbi is always fighting his fellow fighters. They are as close to him as possible. That a western fighter is on his way to his camp. And he has high expectations of him and he would be ready to be martyred. The fence is very high. Sander has contacted Anas. We have his IP address now. We know that he has an egyptian prepaid number. And he is now in a training camp in Libya.;DI08;(1,)
7;De_Dienst_afl_5_seg_7;0 days 00:02:59;0 days 00:03:22;Liesbeth; Dus toch. Dus hij heeft die route afgelegd. Waarvan het vermoeder er al lag. En dan gaat het opeens hard. Twee leads die het vermoeden over zijn locatie flink aanwakkerden. En langzij de hek weten we zeker waar hij is. Sander zit in een IS-trainingskamp in Libië. Hoe zit het eigenlijk met de kabelinterceptie dan? Die is dus niet nodig.; So he has completed that route, from which the suspect was already there. And then it suddenly goes fast. Two leads that I suspect woken up about his location. And along the fence we know for sure where he is. Sander is in an IS training camp in Libya. How is it with the cable interception? That is not necessary.;DI08;(1, 2, 4)
8;De_Dienst_afl_5_seg_8;0 days 00:03:22;0 days 00:04:08;Bart; En gisteren hebben we nog vrij intensief contact gehad met de jurist. Verder nog met kabelinterceptie zelf. En zij zijn toch aan de gang gegaan om te kijken of het mogelijk is. Er is behoorlijk wat werk gisteravond nog aan verricht. En ik heb ze vanochtend helaas moeten zeggen dat al het werk voor niets geweest is. En dat is frustrerend. Maar ik denk dat dat ook wel met het comes with the job. Dat je een hoop geduld moet hebben om überhaupt die positie te kunnen krijgen. En op het moment dat je de positie hebt dat die misschien niet meer nodig is. Dus je hebt ook een vrij hoge frustratietolerantie nodig. Maar goed, we zitten hier met professionals die weten dat dit de aard van het werk is.; Yesterday we had intensive contact with the lawyer. Furthermore with cable interception itself. And they went to see if it was possible. There was a lot of work done last night. And I unfortunately had to tell them this morning that all the work was for nothing. And that is frustrating. But I think it can also be with the job. That you have to have a lot of patience to be able to get that position. And at the moment that you have the position that it may not be necessary anymore. So you also need a fairly high frustration tolerance. Anyway, we are here with professionals who know that this is the nature of the work.;DI08;(1, 2)
9;De_Dienst_afl_5_seg_9;0 days 00:04:08;0 days 00:04:14;Liesbeth; Dus ja, zo werkt het gewoon. Maar in ieder geval, we hebben Sander gevonden.; That's just how it works. But in any case, we found Sander.;DI08;(1, 2)
