seg_id;start;end;speaker;transcription;translation
De_Dienst_afl_4_seg_0;0 days 00:00:00;0 days 00:00:05;Liesbeth; Privacy, hallo, het rechte privacy heb je nu verspeeld, want...; Privacy? You've just played the role of privacy.
De_Dienst_afl_4_seg_1;0 days 00:00:05;0 days 00:00:08;Bart; Nee, dat heb je nooit verspeeld.; No, I've never played it. Never.
De_Dienst_afl_4_seg_2;0 days 00:00:08;0 days 00:00:21;Mixed; Nooit. Hoe ver kun je gaan om een aanslag te voorkomen?; How far can you go to prevent an attack?
De_Dienst_afl_4_seg_3;0 days 00:00:21;0 days 00:00:25;Liesbeth; En hoe ver mag ik gaan in het schenden van iemands privacy?; And how far can I go in the guise of someone's privacy?
De_Dienst_afl_4_seg_4;0 days 00:00:25;0 days 00:00:34;Bart; Je wil niet in een land wonen waarin de controle op je bevolking... dermate groot is dat je van iedereen weet waar ze op welk moment zijn.; You don't want to live in a country... ...where the control is on your population. It's so big that you know from everyone where they are at what time.
De_Dienst_afl_4_seg_5;0 days 00:00:36;0 days 00:00:55;Liesbeth; Het is mijn vierde dag bij de IVD. De geheime dienst die bij hoge uitzondering de voordeur een klein beetje op een kier zet... door mij mee te laten lopen in een case. Vandaag ga ik verder met het onderzoek, wat dankzij Ocint een heel stuk verder is gekomen. Ik ben benieuwd naar de nieuwste ontwikkelingen... en hoe nieuwe technieken mij verder kunnen helpen in deze zaak.; It's my fourth day at the IFD. The secret service, which at a high expense... ...puts the front door a little bit on its way... ...by letting me walk in a case. Today I'm going to continue with the research... ...which has come a long way thanks to OSINT. I'm curious about the latest developments... ...and also how new techniques can help me further in this case.
De_Dienst_afl_4_seg_6;0 days 00:00:55;0 days 00:01:13;Mark; Er was een vrij negatief beeld in het publiek. Dat er een sleepwet en heel veel privacy geschonden wordt... van heel veel onschuldige burgers, dat we hele wijken zouden tappen. Dat het complexe materie is, maar we er niet zoveel over kwijt kunnen... is het wel lastig om een echt scherpe beeldvorming te kunnen plaatsen.; There was a rather negative image in the audience. That there was a draft law and a lot of privacy was given... ...by a lot of innocent citizens. That whole neighborhoods would tap. That it is a complex matter... ...but we can't get over it so much... ...it is difficult to place a really sharp image.
De_Dienst_afl_4_seg_7;0 days 00:01:15;0 days 00:01:43;Liesbeth; Mijn naam is Liespe Trasker. Welkom bij aflevering vier van De Dienst. Dag vier in Zoetermeer. Ocint heeft het filmpje van Sander bij de demonstratie gevonden... en de telefoontap is aangesloten. Voordat zo'n tap goedgekeurd wordt, is er een heel juridisch proces aan vooraf gegaan... want iemand wordt niet zomaar afgeluisterd. Er moet een last worden geschreven. Dat klinkt allemaal heel amtelijk, maar het is heel belangrijk.; My name is Liesbeth Rasker. Welcome to episode 4 of The Service. Day 4 in Zoetermeer. OSINT has found the video of Sander at the demonstration... ...and the telephone tap is connected. Before such a tap is approved... ...a very legal process has taken place... ...because someone is not just being listened to. A complaint must be written. It all sounds very official, but it is very important.
De_Dienst_afl_4_seg_8;0 days 00:01:44;0 days 00:03:28;Bart; De last is het document waarin je al je argumentatie opschrijft. Om bevolgens toestemming te gaan vragen om een bijzondere inrichting in te gaan zetten. De last is eigenlijk een soort basis document wat jij schrijft als bewerker. Je hebt het heel kort al even met Ton over gehad. Ton die zei ook van ik wil gewoon dat er een aantal elementen in zitten... die voor de DG, onze diensthoofd, voor de minister en voor de tip belangrijk zijn... om te zeggen op basis daarvan gaan we akkoord met de inzetten van dat bijzondere inlichtingmiddel. Een aantal elementen zitten eraan vast. Die moeten erin terugkomen. Sowieso een beschrijving eigenlijk van de CASUS. De drie hoofdonderdelen volgens zijn de noodzaak van de inzet. De proportionaliteit, dus in hoeverre weegt de inzet van dit middel op... tegen de schending van de privacy van iemand. Is dit middel proportioneel? Dan heb je nog de subsidiariteit. Kan ik eigenlijk met een lichter middel aan dezelfde inlichtingen komen? En de gerichtheid. Dus zet ik een middel in op iemand, maar gaat de privacy van andere mensen ook geschonden worden? Dus als je de huistelefoon gaat tappen, dat je zo'n heel groot zin eigenlijk meekrijgt. Dus dan is het minder gericht dan gewoon de telefoon die iemand bij ze draagt. Dus het is niet alleen maar lekker puzzelen. Lekker allemaal dingen erbij slepen, middelen inzetten. Het is dus ook continu blijven verantwoorden datgene wat je aan het doen bent.; The complaint is the document... ...in which you write down all your arguments... ...and then ask permission... ...to put in a special information. Okay. The complaint is actually a kind of basic document... ...that you write. As a contractor. You briefly discussed it with Ton. Ton also said... ...I just want a number of elements in there... ...that for the DG, our head of staff... ...for the minister and for the TIP... ...are important to say... ...on the basis of that we agree... ...with the use of that special information. A number of elements are attached to it. They must come back in it. In any case, a description of the cases. The three main parts are... ...the necessity of the use. Yes. The proportionality. So how far does the use of this means weigh... ...against the deprivation of someone's privacy? Is this tool proportional? Then you have the subsidiarity. Can I actually come to the same conclusions... ...with a lighter tool? And the justice. So I put a tool in someone... ...but will the privacy of other people also be damaged? So if you are going to tap the home phone... ...you actually get a lot of sense. So then it is less directed... ...than just the phone that someone is carrying with them. So it's not just nice to puzzle... ...nice to drag things along, use the tools... ...it is also continuing to keep answering...
De_Dienst_afl_4_seg_9;0 days 00:03:30;0 days 00:03:41;Liesbeth; En met die verantwoording zat het wel goed. Door het filmpje dat het Oostin-team heeft gevonden... waarin we Sander hoorden zeggen dat hij de oorlog terug naar Nederland wil brengen. Kortom, we zijn gaan tappen en daar is flink wat informatie uitgekomen.; ...what you are doing. And with that answer it was good... ...because of the video that the Oostin team found... ...in which we heard Sander say... ...that he wants to bring the war back to the Netherlands. In short, we started tapping...
