seg_id;start;end;speaker;transcription;translation
De_Dienst_afl_2_seg_0;0 days 00:00:00;0 days 00:00:24;Andrea; Ja, dat kan wel spannend zijn. Ben je weleens bang geweest? Ja. En je introduceert jezelf gewoon. Dan mogen wij een paar vragen stellen. Doe je dat telefonisch of sta je er voor zijn neus? Dat kan afhankelijk zijn van wat je zelf prettig vindt. Maar ik ga wel gewoon liever. Ik sta liever voor zijn neus.; Yes, that can be exciting. Have you ever been scared? Yes. And you introduce yourself, we can ask a few questions. Do you do that on the phone or do you stand in front of it? That can depend on what you like, but I prefer to stand in front of it.
De_Dienst_afl_2_seg_1;0 days 00:00:30;0 days 00:01:09;Liesbeth; De AIVD, een geheime dienst in Nederland. Hoe komt die aan bronnen en informatie? Ik mag de tourniquet achter u nemen. Yes, dank u wel. Ik mag binnenkijken bij de dienst om een indruk te krijgen van wat er waar is van de spannende verhalen over spionnen en hackers. En ben jij dan ook alert als je naar specifieke bronnen gaat of je achtervolgt wordt of dat soort dingen? Ja. Dat herken je dan? Ja. Vandaag ga ik verder met de case die in de vorige aflevering op mijn bord is gelegd. Wat is er uit het eerste onderzoek naar Sander gekomen? Is er reden om zwaardere middelen in te zetten?; The AIVD, a secret service in the Netherlands. How does it get to sources and information? You can take the tourniquet away. Yes, thank you. I can look inside the service to get an impression of what is true of the exciting stories about spies and hackers. And are you also alert when you go to a specific source whether you are being followed or that kind of thing? Yes. You recognize that? Yes. Today I continue with the case that was put on my plate in the previous episode. What came out of the first investigation to Sander? Is there a reason to use heavier means?
De_Dienst_afl_2_seg_2;0 days 00:01:09;0 days 00:01:19;Bart; Wat je in de praktijk wel vaak ziet is dat bekerelingen net even een zwart-wit benadering hebben van hun nieuwe ideologie. Dat ze soms net even wat strenger in de leer zijn.; What you often see in the practice is that the clients have a little more of a black and white approach to their new ideology. That they are sometimes just a little stricter in the leather.
De_Dienst_afl_2_seg_3;0 days 00:01:19;0 days 00:01:59;Liesbeth; Ik kreeg mensen te spreken die echt met dit soort zaken bezig zijn. Hoe je aan informatie moet komen en wat je er vervolgens mee moet doen. Mijn naam is Liesbeth Rasker. Welkom bij aflevering 2 van De Dienst. Het is mijn tweede dag en ik ben weer binnen bij de AIVD. Met Bart heb ik een kleine evaluatie van de eerste dag. Want op de weg naar huis duizelde het me van de indrukken en nieuwe informatie. Ook over Sander. Want één tip maakt nog geen terrorist. Hoe weet je nou of zo'n flart van een verhaal gewoon een toevalligheid is... Of dat er meer aan de hand is? Om even terug te komen op Homeland.; I get to talk to people who are really busy with these kinds of things. How to get information and what to do with it. My name is Liesbeth Rasker. Welcome to episode 2 of De Dienst. It's my second day and I'm back at the AIVD. With Bart I have a small evaluation of the first day. Because on the way home I was dazed by the impressions and new information. Also about Sander. Because one tip doesn't make a terrorist yet. How do you know if such a blunder of a story is just a coincidence or if there is more going on? To get back to Homeland.
De_Dienst_afl_2_seg_4;0 days 00:01:59;0 days 00:02:12;Bart; In Homeland is het altijd zo dat iedere lied, iedere flart, betekent iets. En heeft ook een betekenis in het hele onderzoek. Alle flarden, alle meldingen, alle zaken die we binnenkrijgen... 95 procent leidt tot helemaal niets.; In Homeland it is always like this. Every song, every flirt means something. And it also has a meaning in the whole investigation. All flirts, all reports, all the things we get inside. 95% leads to nothing at all.
De_Dienst_afl_2_seg_5;0 days 00:02:12;0 days 00:02:14;Andrea; Daar doen we een klein onderzoekje naar.; We do a little research on that.
De_Dienst_afl_2_seg_6;0 days 00:02:14;0 days 00:02:16;Bart; We kijken ernaar en blijkt het niks te zijn.; We look at it and it turns out to be nothing.
De_Dienst_afl_2_seg_7;0 days 00:02:16;0 days 00:02:18;Liesbeth; Disselectie hebben we al gemaakt.; We have already made the selection.
De_Dienst_afl_2_seg_8;0 days 00:02:18;0 days 00:02:26;Bart; En we hebben natuurlijk al gezegd... Ja, we gaan hier toch een onderzoek naar doen... Omdat er een paar zorgwekkende aspecten in zitten.; And of course we have already said that we are going to do an investigation here. Because there are a few worrying aspects in it.
De_Dienst_afl_2_seg_9;0 days 00:02:26;0 days 00:02:28;Liesbeth; Je hebt vrij lichte middelen in gezet.; You have put in pretty light means.
De_Dienst_afl_2_seg_10;0 days 00:02:28;0 days 00:02:30;Bart; Dus dat is prima.; So that's fine.
De_Dienst_afl_2_seg_11;0 days 00:02:30;0 days 00:02:46;Liesbeth; Ja, de case. Daar blijf ik de komende afleveringen mee bezig. De zaak Sander is een fictieve case... Maar wel gebaseerd op hoe dit soort dingen in het echt zouden kunnen gebeuren. Tegenover me zitten dan ook echte AIVD'ers... Die zich met veel meer bezighouden dan alleen contraterrorisme.; Yes, the case. I will stay with that in the coming episodes. The case Sander is a fictional case. But based on how these things could really happen. Opposite me are then also real AIVDers. Who are much more busy than only counter-terrorism.
De_Dienst_afl_2_seg_12;0 days 00:02:46;0 days 00:03:17;Bart; Extremisme, je hebt links en rechts extremisme. Spionage natuurlijk. Er zijn voldoende organisaties, landen, staten... Die invloed willen uitoefenen hier binnen Nederland. Die hier ook geheimen vandaan willen halen. Verder hebben we ook nog zoiets als proliferatie van massa-vernietigingswapens. Wij hebben hier natuurlijk in Nederland bepaalde kennis met bepaalde technologie... Die andere landen graag zouden willen hebben. En die eventueel zouden kunnen leiden tot het maken van massa-vernietigingswapens.; Extremism, you have left and right extremism. Spying of course. There are sufficient organizations, countries, states. Who want to exert influence here within the Netherlands. Who also want to get secrets from here. We also have something like mass destruction weapons proliferation. We have certain knowledge here in the Netherlands. With regard to certain technologies that other countries would like to have. And that could possibly lead to the creation of mass destruction weapons.
De_Dienst_afl_2_seg_13;0 days 00:03:17;0 days 00:03:26;Liesbeth; Inlichting het buitenland. En dat wisselt dus ook jouw focus, wisselt dus ook dagelijks van... Dit is dan wat aandacht benodigd?; Yes. In the direction of the outside world. And that also changes your focus. Also changes daily. This is what needs attention.
